Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
0.001,No,0.12312239430412349,0.175,0.175,1.0,0.019461250000001186,0.007361281925351246,1.535441250000138,1.535441250000138
0.006,No,0.09933705641948927,1.2375,1.225,0.98989898989899,0.10962645063340963,0.029506108438431565,5.439028950634255,6.998000740034593
0.011,No,0.27884969969789214,2.4875,2.475,0.9949748743718594,0.32272891929644415,0.04091666830572255,6.8727491276304935,10.594266782956705
0.016,No,0.09070850561143541,3.05,3.0,0.9836065573770493,0.549930144696033,0.04250390130411722,7.955289207196815,12.942122691276959
0.021,No,0.06473306796751278,4.1375,4.1125,0.9939577039274924,1.0779493713937718,0.044459495912133884,9.2378809676248,16.03304447324171
0.026000000000000002,No,0.04228983282901962,5.1,5.1,1.0,1.6656816672866022,0.04409955026601524,10.243726592972951,18.77485797684036
0.031,No,0.04445974720708129,5.8375,5.8375,1.0,1.6062991234929533,0.04468270135159766,9.856057891732567,18.871631242046526
0.036000000000000004,No,0.046354795137672836,7.025,6.925,0.9857651245551601,1.6184700471370956,0.044017772048926464,9.221062089435971,18.817058049296513
0.041,No,0.054515973681990085,8.625,8.5125,0.9869565217391304,1.9945837084845273,0.04378399705497309,9.689922206778837,20.606169859490294
