Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
2.0,Yes,1.7813056548576234,403.75,403.75,1.0,0.15948829938559453,0.051884931977577355,9.55870176893911,28.277117390074363
2.5,Yes,2.1640082193095,497.8,497.8,1.0,0.1680873192643637,0.05396881291803499,10.053556983250767,29.937960021654852
3.0,No,2.604575738881887,602.575,602.575,1.0,0.176221942829623,0.05657770815645757,10.543778859717351,31.3386391464962
3.5,No,3.0005369497241974,697.4125,697.4125,1.0,0.18262968803273744,0.058488287628974255,10.790984723022456,31.994143601438545
4.0,No,3.4100255615278443,798.475,798.475,1.0,0.19093177202320355,0.06123976480445238,11.321039661866132,33.453052121685985
4.5,No,3.8214957688175346,903.4625,903.4625,1.0,0.2007355248468648,0.06414776362867496,11.820588702086303,34.99956309722188
5.0,No,4.222969836166482,1006.1625,1006.1625,1.0,0.21181238573637362,0.06738421885297191,12.457102806558972,36.722395340770746
