Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
0.5,Yes,0.47752451857128764,101.8875,101.8875,1.0,0.1740096403961496,0.04611513862202703,8.56329005099638,24.414867734789272
1.0,Yes,0.9153110151000394,201.925,201.925,1.0,0.1909269449153322,0.04824268103048539,9.013502143532284,26.314768379597922
1.5,Yes,1.337890243050453,299.0,299.0,1.0,0.18961591929327293,0.05024159321853029,9.335732847872336,27.120686364578567
2.0,Yes,1.7882610514944322,403.75,403.75,1.0,0.1960260056608532,0.05262185901172304,9.711295786137134,28.72479594437966
2.5,No,2.1753248951740147,497.8,497.8,1.0,0.2196832434530247,0.05493320650890834,10.251243522890594,30.438639547581545
3.0,No,2.6212895696789777,602.575,602.575,1.0,0.23663234164209074,0.057953565156223255,10.826706024796632,31.928640216845203
3.5,No,3.0254938338648527,697.4125,697.4125,1.0,0.24954039925145555,0.060196552899190944,11.106730520769664,32.8383343460189
