Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
8.0,Yes,6.78693615117677,1597.4125,1597.4125,1.0,0.18325584584603008,0.04850503853579301,9.011138467420436,26.758606419718983
8.5,No,7.226845817009332,1703.525,1703.525,1.0,0.18993010130662916,0.050420174776435456,9.355329789023086,27.63941162697114
9.0,No,7.658971116386633,1800.15,1800.15,1.0,0.19824345118921496,0.05268616758659985,9.784166113970539,29.08500949878077
9.5,No,8.040906965794864,1907.8625,1907.8625,1.0,0.20701615850578686,0.055295194290922424,10.256472489743587,30.37755322183525
10.0,No,8.395102597207803,2003.7,2003.7,1.0,0.21534210332743237,0.05764014665603291,10.65244360485928,31.568382604233772
10.5,No,8.795181721054325,2096.4625,2096.4625,1.0,0.224347946818168,0.06057457016467864,11.20945934367113,33.14978718533381
11.0,No,9.17355541605843,2196.7125,2196.7125,1.0,0.23673685069046502,0.06397674073186567,11.853460937990203,35.17045949277743
11.5,No,9.533242078996334,2301.8875,2301.8875,1.0,0.24794383580621554,0.06736281202192577,12.433397443085573,36.76572857388288
12.0,No,9.917976782208116,2401.2,2401.2,1.0,0.26371442792227984,0.07158643199381418,13.231696428648476,39.10936182075849
