Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
0.5,Yes,0.4768277688014317,101.8875,101.8875,1.0,0.1479248884571366,0.04729653949036718,8.747779885756895,25.004662066028096
1.0,Yes,0.9118252828667174,201.925,201.925,1.0,0.15577411930180957,0.05055347301216532,9.403375518249502,27.455424134899907
1.5,No,1.3300101447807218,299.0,299.0,1.0,0.1605840180911954,0.05396858564579417,9.974554228957839,29.017320388955522
2.0,No,1.7743000429577616,403.75,403.75,1.0,0.16753683013956838,0.05817974873003199,10.6802859033649,31.54554707162665
2.5,No,2.152679730190507,497.8,497.8,1.0,0.17806211142508468,0.06268807806420615,11.621698315715019,34.5656524261239
3.0,No,2.58886691737301,602.575,602.575,1.0,0.1895555311399139,0.06863529823772077,12.712175839285383,37.65595914429607
3.5,No,2.9689878725298824,697.4125,697.4125,1.0,0.1995203121485128,0.07378947651001515,13.487889209220484,39.8258447056739
