Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
1.0,Yes,1.002238918352633,201.0875,201.0875,1.0,0.08964547320747682,0.012206235162272235,2.0476098940720373,3.6534233008529413
1.5,Yes,1.4918002407136837,299.85,299.85,1.0,0.09788395217045345,0.01335350895350032,2.2250592871635697,4.114719053520484
2.0,Yes,1.977376789243533,398.9,398.9,1.0,0.10483776312086088,0.014755132631216094,2.4577437234293407,4.639352341431175
2.5,Yes,2.4977347474279377,504.9375,504.9375,1.0,0.11329774350397008,0.016497743171049788,2.7525129810028135,5.255089765703316
3.0,No,2.992424599150986,605.8625,605.8625,1.0,0.1227361714043477,0.018740132269571944,3.1074834240941094,6.12369050793855
3.5,No,3.4436737467292815,698.225,698.225,1.0,0.13414598266552655,0.021188743320989873,3.521006363955203,7.031886441206889
4.0,No,3.941388536511515,800.85,800.85,1.0,0.14742871719980322,0.02496981064001182,4.145184158309401,8.43032034453736
4.5,No,4.48009478506661,912.0375,912.0375,1.0,0.16319385107774176,0.030556368479246542,5.039004573687332,10.594414335247805
