Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
0.5,Yes,0.5006662345080413,99.3375,99.3375,1.0,1.0164837706114411,0.010750626110828828,2.747000680724136,5.1874352203577345
1.0,No,0.9951532762673825,201.0875,201.0875,1.0,1.536051990938023,0.011449255034507182,3.3496413955920987,5.8008875185039255
1.5,No,1.4790759774208586,299.85,299.85,1.0,1.9026172185698833,0.012262493893800885,3.8149005272139265,6.374701523488294
2.0,No,1.9568506956882383,398.9,398.9,1.0,2.2472665379912065,0.013173521054572973,4.290000756509553,7.090778836426206
2.5,No,2.4686229056550673,504.9375,504.9375,1.0,2.67638079992577,0.014309858388171259,4.882300719081014,7.989839411969496
3.0,No,2.948898439903419,605.8625,605.8625,1.0,3.585127114103848,0.01564400140820755,5.967183152694696,10.128124992969962
3.5,No,3.3233168532292097,698.225,698.225,1.0,6.336066939801775,0.016945216503098402,8.905455928609163,14.97586365277599
