Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
1.0,Yes,1.0022779399760544,201.0875,201.0875,1.0,0.08857078616912088,0.01203151019310562,2.018797303735982,3.5758408301312086
1.5,Yes,1.4919235552710592,299.85,299.85,1.0,0.09603544825626546,0.01303311690363267,2.1724830044506995,3.976746777075534
2.0,Yes,1.9775764538277472,398.9,398.9,1.0,0.1019392032592231,0.014219277759512344,2.3699301751995234,4.411319271604093
2.5,Yes,2.498226330393046,504.9375,504.9375,1.0,0.10906092848661034,0.015626535114266364,2.6092878805845467,4.887750754380522
3.0,Yes,2.993245711692194,605.8625,605.8625,1.0,0.1166171743139024,0.01732362600321642,2.8770225714597215,5.532372430772699
3.5,No,3.445161762261441,698.225,698.225,1.0,0.12503137756402716,0.01907698660066996,3.175594651202066,6.154364453948555
4.0,No,3.9444480206530215,800.85,800.85,1.0,0.13493179515192577,0.021509108242914167,3.5801710135937084,6.983248831791954
4.5,No,4.486240420661518,912.0375,912.0375,1.0,0.1451271396203789,0.024586799938344728,4.071487168046262,8.108810618543941
