Lambda,Stable,QPS,Arrived,Done,Completion_Rate,TTFT_Avg,TBT_Avg,RTS_Avg,RTS_P95
0.001,No,0.10631242829641434,0.175,0.175,1.0,0.021612500000001277,0.007313063921472918,1.5276625000000785,1.5276625000000785
0.006,No,0.1016417213115468,1.2375,1.2375,1.0,0.14841882563341657,0.029875600143670467,5.496375075633715,7.0499262400340115
0.011,No,0.27408892450714595,2.4875,2.4875,1.0,0.3862261163918145,0.040647395706811154,6.873138095558756,10.553882006262908
0.016,No,0.08775735285984694,3.05,3.05,1.0,0.5722845762436164,0.0422224921539038,7.844393169994011,12.867055941276243
0.021,No,0.06272112711222724,4.1375,4.1375,1.0,1.1093382007587789,0.04416350756363326,9.209008738953708,15.953556785741052
0.026000000000000002,No,0.042311533538790004,5.1,5.1,1.0,1.7523496592839192,0.04379970754913178,10.272541554802082,18.871228510695552
0.031,No,0.044463128264681864,5.8375,5.8375,1.0,1.797084703559142,0.04437603331148797,9.991004269531823,19.28608220995967
0.036000000000000004,No,0.0469746875177009,7.025,7.025,1.0,1.9682320585701887,0.044260445261087654,9.705743319618616,19.80140400217813
0.041,No,0.05513772891001264,8.625,8.625,1.0,2.4694402110268783,0.04401985052075845,10.2891550689819,22.06639094076956
